2020-09-04 356C,"{'value': 14188328, 'volume': 57211}"
2020-09-18 356C,"{'value': 2212192, 'volume': 3788}"
2020-10-16 356C,"{'value': 1258506, 'volume': 1251}"
2020-09-04 357C,"{'value': 7824222, 'volume': 41398}"
2020-09-18 357C,"{'value': 1968292, 'volume': 3742}"
2020-10-16 357C,"{'value': 876900, 'volume': 925}"
2020-09-04 358C,"{'value': 3786720, 'volume': 27048}"
2020-09-18 358C,"{'value': 1524560, 'volume': 3230}"
2020-10-16 358C,"{'value': 880498, 'volume': 986}"
2020-09-04 359C,"{'value': 2299063, 'volume': 22763}"
2020-09-18 359C,"{'value': 2836215, 'volume': 6705}"
2020-10-16 359C,"{'value': 550200, 'volume': 655}"
2020-09-04 360C,"{'value': 2143845, 'volume': 30195}"
2020-09-18 360C,"{'value': 4701567, 'volume': 12471}"
2020-10-16 360C,"{'value': 4344234, 'volume': 5506}"
2020-09-04 361C,"{'value': 434483, 'volume': 8867}"
2020-09-18 361C,"{'value': 1337320, 'volume': 3992}"
2020-10-16 361C,"{'value': 458800, 'volume': 620}"
2020-09-04 362C,"{'value': 383792, 'volume': 11288}"
2020-09-18 362C,"{'value': 1496880, 'volume': 5040}"
2020-10-16 362C,"{'value': 521888, 'volume': 752}"
2020-09-04 363C,"{'value': 88573, 'volume': 3851}"
2020-09-18 363C,"{'value': 591334, 'volume': 2257}"
2020-10-16 363C,"{'value': 797550, 'volume': 1227}"
2020-09-04 364C,"{'value': 110864, 'volume': 6929}"
2020-09-18 364C,"{'value': 566874, 'volume': 2454}"
2020-10-16 364C,"{'value': 213057, 'volume': 351}"
2020-09-04 365C,"{'value': 36575, 'volume': 3325}"
2020-09-18 365C,"{'value': 1183490, 'volume': 5830}"
2020-10-16 365C,"{'value': 1530760, 'volume': 2695}"
2020-09-04 366C,"{'value': 9488, 'volume': 1186}"
2020-09-18 366C,"{'value': 353152, 'volume': 1984}"
2020-10-16 366C,"{'value': 1329770, 'volume': 2509}"
2020-09-04 367C,"{'value': 6320, 'volume': 1264}"
2020-09-18 367C,"{'value': 314184, 'volume': 2014}"
2020-10-16 367C,"{'value': 465842, 'volume': 943}"
2020-09-04 368C,"{'value': 1852, 'volume': 463}"
2020-09-18 368C,"{'value': 293080, 'volume': 2155}"
2020-10-16 368C,"{'value': 267720, 'volume': 582}"
2020-09-04 369C,"{'value': 786, 'volume': 262}"
2020-09-18 369C,"{'value': 183022, 'volume': 1538}"
2020-10-16 369C,"{'value': 399399, 'volume': 931}"
2020-09-04 370C,"{'value': 448, 'volume': 224}"
2020-09-18 370C,"{'value': 403200, 'volume': 3840}"
2020-10-16 370C,"{'value': 1901634, 'volume': 4766}"
2020-09-04 357P,"{'value': 2060086, 'volume': 10619}"
2020-09-18 357P,"{'value': 602910, 'volume': 990}"
2020-10-16 357P,"{'value': 207668, 'volume': 193}"
2020-09-04 356P,"{'value': 5898056, 'volume': 38803}"
2020-09-18 356P,"{'value': 1025352, 'volume': 1818}"
2020-10-16 356P,"{'value': 982383, 'volume': 951}"
2020-09-04 355P,"{'value': 7352520, 'volume': 61271}"
2020-09-18 355P,"{'value': 3471944, 'volume': 6664}"
2020-10-16 355P,"{'value': 2541504, 'volume': 2562}"
2020-09-04 354P,"{'value': 6427225, 'volume': 67655}"
2020-09-18 354P,"{'value': 3333994, 'volume': 6917}"
2020-10-16 354P,"{'value': 1368990, 'volume': 1435}"
2020-09-04 353P,"{'value': 3101788, 'volume': 40813}"
2020-09-18 353P,"{'value': 2047707, 'volume': 4581}"
2020-10-16 353P,"{'value': 1447026, 'volume': 1578}"
2020-09-04 352P,"{'value': 1879471, 'volume': 30811}"
2020-09-18 352P,"{'value': 1307665, 'volume': 3151}"
2020-10-16 352P,"{'value': 746172, 'volume': 846}"
2020-09-04 351P,"{'value': 1470539, 'volume': 30011}"
2020-09-18 351P,"{'value': 1190810, 'volume': 3085}"
2020-10-16 351P,"{'value': 674955, 'volume': 795}"
2020-09-04 350P,"{'value': 2490545, 'volume': 60745}"
2020-09-18 350P,"{'value': 5828724, 'volume': 16236}"
2020-10-16 350P,"{'value': 4870137, 'volume': 5961}"
2020-09-04 349P,"{'value': 449684, 'volume': 13226}"
2020-09-18 349P,"{'value': 1147375, 'volume': 3425}"
2020-10-16 349P,"{'value': 750011, 'volume': 953}"
2020-09-04 348P,"{'value': 385196, 'volume': 13757}"
2020-09-18 348P,"{'value': 781248, 'volume': 2496}"
2020-10-16 348P,"{'value': 925221, 'volume': 1219}"
2020-09-04 347P,"{'value': 180960, 'volume': 7540}"
2020-09-18 347P,"{'value': 1609742, 'volume': 5494}"
2020-10-16 347P,"{'value': 1271755, 'volume': 1735}"
2020-09-04 346P,"{'value': 130740, 'volume': 6537}"
2020-09-18 346P,"{'value': 488542, 'volume': 1783}"
2020-10-16 346P,"{'value': 1361874, 'volume': 1929}"
2020-09-04 345P,"{'value': 419934, 'volume': 24702}"
2020-09-18 345P,"{'value': 3351420, 'volume': 12990}"
2020-10-16 345P,"{'value': 7391516, 'volume': 10838}"
2020-09-04 344P,"{'value': 210300, 'volume': 14020}"
2020-09-18 344P,"{'value': 349932, 'volume': 1446}"
2020-10-16 344P,"{'value': 1186020, 'volume': 1797}"
2020-09-04 343P,"{'value': 44109, 'volume': 3393}"
2020-09-18 343P,"{'value': 423624, 'volume': 1858}"
2020-10-16 343P,"{'value': 447811, 'volume': 703}"
